millis,stamp,datetime,light,temp,vcc
190999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
192000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
193000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
193999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
194998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
195998, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
196999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
197998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
198999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
199999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
200999, 1562112000, "2019/7/3 0:0:0", 998, 520.34, 1.13
201999, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
202999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
204000, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
204999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
206000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
206999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
208000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
208999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
209999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
210999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
211999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
213000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
213998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
214999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
215999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
216998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
217999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
218998, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
220000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
220999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
222000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
222999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
224000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
224999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
225999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
226999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
227999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
229000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
229999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
231000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
231999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
232999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
233999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
234998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
235999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
236999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
237999, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
